Player,Ht,Wt,Pos,GP,MP,RY,LY,EXP,PTS,ORB,DRB,TRB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,TOV,PF,HOF
George Hill,190,85,PG,599,17357,2009,2017,9,7039,333,1591,1924,2002,555,176,1740,3525,746,1965,1321,1648,789,1289,0
Willie Warren,193,92,PG,19,134,2011,2011,1,37,1,11,12,27,6,0,8,20,5,15,6,8,8,16,0
Walter Sharpe,206,111,PF,8,20,2009,2009,1,8,0,3,3,0,0,2,4,9,0,2,0,2,0,3,0
Anthony Randolph,208,92,PF,292,4431,2009,2014,6,2094,378,860,1238,220,172,248,779,1671,21,87,473,647,351,518,0
Gary Payton II ,190,86,G,29,320,2017,2018,2,89,13,43,56,34,10,7,31,62,7,34,6,14,17,39,0
Vincent Yarbrough,201,95,SG,59,1381,2003,2003,1,406,36,126,162,130,57,33,147,350,21,78,49,62,81,145,0
Viktor Khryapa,206,95,PF,143,2351,2005,2008,4,643,168,324,492,142,86,48,237,519,14,48,127,193,139,353,0
Gal Mekel,190,86,PG,35,335,2014,2015,2,79,5,23,28,76,6,1,28,83,5,23,8,12,33,32,0
Furkan Aldemir,208,108,PF,41,540,2015,2015,1,93,78,98,176,28,17,16,40,73,0,5,13,27,17,96,0
Tyus Jones,188,88,PG,97,1347,2016,2017,2,365,17,97,114,264,78,8,89,211,42,126,61,82,71,83,0
Tyler Zeller,213,114,C,340,6048,2013,2017,5,2384,513,974,1487,316,88,203,957,1910,0,6,470,611,297,751,0
Ty Lawson,180,88,PG,617,17499,2010,2017,8,7350,377,1249,1626,3554,689,59,2126,4351,509,1427,1571,2050,1254,985,0
Troy Bell,185,81,PG,6,34,2004,2004,1,11,3,1,4,4,1,0,4,14,0,4,3,3,6,6,0
Trey Burke,185,86,PG,267,6619,2014,2017,4,2832,93,478,571,972,153,32,735,1739,354,1052,300,369,383,404,0
Treveon Graham,198,99,SG,27,189,2017,2017,1,57,5,17,22,6,6,1,10,25,9,15,10,15,3,18,0
Travis Wear,208,104,SF,51,672,2015,2015,1,199,31,75,106,40,15,11,73,179,11,30,20,26,35,55,0
Frank Kaminsky,213,109,C,156,3662,2016,2017,2,1480,126,545,671,260,85,77,351,771,184,556,226,304,134,265,0
Anthony Grundy,190,81,SG,12,108,2006,2006,1,52,1,16,17,9,7,0,14,23,5,15,9,14,9,14,0
Festus Ezeli,211,115,C,170,2394,2013,2016,4,712,292,433,725,63,48,166,275,536,0,0,162,291,133,328,0
Evan Turner,201,99,SF,615,17505,2011,2017,7,6750,375,2701,3076,2230,510,136,2428,5381,267,884,1093,1388,1217,1282,0
Eugene Jeter,180,79,PG,62,858,2011,2011,1,255,9,61,70,162,29,2,100,229,6,30,37,41,51,54,0
Anthony Davis,206,97,C,335,11531,2013,2017,5,7497,849,2555,3404,590,436,793,2765,5274,78,269,1733,2203,595,815,0
Esteban Batista,208,122,PF,70,576,2006,2007,2,121,68,106,174,11,18,11,42,95,0,1,37,60,42,124,0
Timofey Mozgov,216,124,C,549,10391,2011,2017,7,3889,986,1853,2839,309,182,492,1546,2861,9,46,770,1052,645,1270,0
Erik Daniels,203,97,SF,21,72,2005,2005,1,13,7,11,18,4,2,0,5,16,1,2,0,0,6,7,0
Tim Frazier,185,77,PG,189,3485,2015,2017,3,1100,98,351,449,779,138,10,315,726,82,258,224,319,281,331,0
Tibor Pleiss,221,116,C,12,82,2016,2016,1,24,6,9,15,2,1,2,11,23,0,2,2,2,8,19,0
Anthony Brown,206,111,SF,51,917,2016,2017,2,201,25,111,136,35,24,7,41,102,34,124,17,20,27,64,0
Eric Moreland,208,107,PF,11,50,2015,2016,2,10,3,9,12,1,0,4,4,7,0,0,2,4,3,5,0
Emmanuel Mudiay,196,90,PG,123,3474,2016,2017,2,1475,61,349,410,589,106,48,407,1046,130,410,271,376,340,236,0
Taurean Green,183,80,SG,34,148,2008,2008,1,54,0,20,20,22,4,0,10,28,4,22,22,24,18,10,0
Tang Hamilton,203,99,SF,9,98,2002,2002,1,20,6,12,18,5,4,0,10,18,0,1,0,1,2,10,0
T.J. McConnell,208,108,PG,162,3739,2016,2017,2,1049,82,419,501,901,229,20,412,832,42,144,99,131,299,253,0
Anthony Bennett,203,111,PF,151,1905,2014,2017,4,658,132,340,472,77,58,27,215,503,36,138,120,179,99,206,0
Sundiata Gaines,185,83,SG,137,1612,2010,2012,3,619,59,154,213,249,99,4,171,379,53,184,118,214,120,125,0
Elliot Williams,196,86,PG,122,1589,2012,2016,5,574,38,131,169,106,49,6,145,303,62,192,98,149,82,170,0
Elias Harris,203,108,SF,2,11,2014,2014,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Efthimi Rentzias,211,113,C,35,144,2003,2003,1,52,10,16,26,7,6,2,16,51,4,8,8,9,4,21,0
Eduardo Najera,203,108,PF,733,13083,2001,2012,12,3563,1033,1632,2665,587,513,269,1276,2534,135,439,606,911,488,1620,0
Eddy Curry,213,133,C,527,13109,2002,2013,12,6820,947,1778,2725,287,155,384,2576,4732,2,2,1662,2588,1174,1562,0
Ansu Sesay,206,102,SF,127,1301,2002,2005,4,401,102,121,223,62,38,30,153,342,8,29,71,111,58,162,0
Eddie Gill,183,86,PG,201,2187,2001,2009,9,609,29,200,229,239,111,16,123,315,68,212,159,186,148,227,0
Spencer Hawes,216,111,PF,818,18808,2008,2017,10,7322,1160,3584,4744,1592,323,776,2476,5108,512,1415,834,1141,1193,2023,0
Sherron Collins,180,92,PG,20,66,2011,2011,1,17,0,5,5,8,2,0,5,15,2,10,1,1,4,2,0
Sheldon McClellan,196,90,SG,30,287,2017,2017,1,90,4,30,34,15,8,2,23,45,7,30,23,27,5,17,0
Ed Davis,208,108,PF,562,11667,2011,2017,7,3901,1248,2274,3522,462,293,535,1625,2909,0,1,651,1131,440,1376,0
Shaun Livingston,201,87,PG,812,17574,2005,2017,13,5317,467,1538,2005,2594,592,307,2156,4397,13,76,966,1203,1080,1507,0
Shane Larkin,180,79,PG,202,4105,2014,2016,3,1168,68,330,398,639,214,22,375,809,86,262,160,210,268,317,0
Andy Panko,206,100,SF,1,1,2001,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergei Monia,203,99,SF,52,686,2006,2006,1,154,22,82,104,38,14,10,40,106,18,68,20,28,24,82,0
Earl Clark,208,102,PF,357,4862,2010,2015,6,1558,254,768,1022,161,108,179,495,1167,123,377,199,307,234,435,0
E'Twaun Moore,208,102,SG,380,7106,2012,2017,6,2489,145,522,667,648,229,95,729,1561,278,753,197,263,310,540,0
Sean Colson,183,79,PG,26,88,2001,2001,1,30,4,8,12,20,2,0,10,38,2,10,4,8,4,12,0
Dwyane Wade,193,99,SG,915,32352,2004,2017,14,21317,1140,3257,4397,5173,1500,800,7308,14473,431,1502,5408,7041,3020,2086,0
Dwight Buycks,190,86,PG,20,269,2014,2015,2,95,6,29,35,24,11,0,21,60,12,28,17,19,22,14,0
Sam Young,198,99,SG,284,4341,2010,2013,4,1550,183,452,635,195,151,63,551,1201,54,192,286,386,220,334,0
Ryan Reid,203,105,PF,5,17,2012,2012,1,8,1,1,2,0,0,0,4,5,0,0,0,0,1,1,0
Dragan Tarlac,208,117,C,43,598,2001,2001,1,103,37,85,122,31,7,19,39,99,0,0,25,33,38,95,0
Ryan Bowen,201,97,SF,507,6502,2000,2010,11,1319,506,554,1060,250,325,138,530,1124,14,68,217,313,168,752,0
Donte Greene,211,102,PF,253,4259,2009,2012,4,1541,140,460,600,183,111,116,420,899,165,542,206,294,222,373,0
Rondae Hollis-Jefferson,201,99,SF,107,2376,2016,2017,2,842,135,471,606,197,121,60,279,599,19,81,227,305,142,238,0
Donatas Motiejunas,213,100,PF,248,4553,2013,2017,5,1826,296,653,949,270,118,81,607,1148,121,404,249,415,284,532,0
Roko Ukic,196,83,PG,85,987,2009,2010,2,341,27,51,78,165,31,2,123,280,14,74,53,71,66,83,0
Rob Kurz,206,105,SF,40,442,2009,2009,1,157,33,48,81,20,14,19,36,93,15,38,40,50,16,78,0
Dominique Jones,203,99,PG,80,741,2011,2013,3,246,33,81,114,144,29,10,81,206,2,21,78,107,76,64,0
Domantas Sabonis,211,108,PF,81,1632,2017,2017,1,479,45,242,287,82,39,32,141,322,51,159,44,67,83,200,0
Dion Waiters,193,102,SG,415,11780,2013,2017,5,5378,190,894,1084,1072,424,110,1607,3669,472,1400,748,1076,724,814,0
Dijon Thompson,201,88,SF,16,93,2006,2007,2,45,7,12,19,3,3,1,13,27,4,13,7,8,3,8,0
Andrew Bogut,213,117,C,698,20095,2006,2017,12,6812,1772,4425,6197,1569,448,1095,2986,5579,3,26,831,1501,1220,2210,0
Andrei Kirilenko,206,99,SF,797,23916,2002,2015,14,9431,1400,2952,4352,2169,1097,1461,2779,5452,367,1185,2772,3675,1518,1605,0
Ray McCallum,190,86,PG,195,3283,2014,2016,3,1057,86,267,353,428,91,34,343,808,86,254,113,157,172,219,0
Deyonta Davis,211,107,C,36,238,2017,2017,1,58,20,40,60,2,3,17,24,47,0,0,10,18,8,40,0
Rasual Butler,201,97,SF,856,17989,2003,2016,14,6314,307,1704,2011,685,296,423,1415,3267,957,2656,613,823,552,1169,0
Dewayne Dedmon,213,111,C,255,3660,2014,2017,4,1052,390,882,1272,76,89,201,427,763,0,1,198,297,180,562,0
Rashad McCants,193,93,SG,307,6138,2006,2009,4,3033,135,481,616,399,230,75,760,1650,355,982,448,601,426,687,0
Devin Green,201,95,SG,27,135,2006,2006,1,25,10,14,24,7,3,0,6,26,0,2,13,21,5,13,0
Randy Holcomb,206,102,SF,4,11,2006,2006,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0
Randolph Morris,208,120,PF,74,438,2007,2010,4,140,27,77,104,7,13,7,52,122,0,0,36,66,30,100,0
Devean George,203,99,SF,630,11682,2000,2010,11,3536,546,1429,1975,543,436,230,891,2114,427,1246,473,656,447,1270,0
Desmond Mason,201,101,SF,723,22404,2001,2010,10,8914,958,2428,3386,1212,508,262,3301,7226,87,326,2051,2768,1147,1642,0
DeShawn Stevenson,196,95,SG,968,21723,2001,2013,13,6975,500,1721,2221,1569,491,157,2072,4774,588,1775,1067,1535,964,1354,0
Rakeem Christmas,206,113,PF,30,225,2016,2017,2,63,27,30,57,4,3,6,21,45,0,0,21,29,8,38,0
Derrick Williams,190,90,PF,554,11479,2012,2017,6,4735,441,1704,2145,377,261,135,1335,2754,307,1032,1144,1615,503,706,0
Quinn Cook,188,83,PG,28,376,2017,2017,1,158,2,12,14,52,8,0,44,80,22,52,4,10,26,26,0
Derrick Jones,203,100,SF,32,545,2017,2017,1,168,39,40,79,12,14,13,65,110,3,11,29,41,13,63,0
Quincy Acy,201,108,PF,358,5315,2013,2017,5,1607,358,870,1228,198,143,143,465,921,120,321,317,429,206,681,0
Predrag Savovic,198,102,SG,27,256,2003,2003,1,83,9,16,25,22,14,1,25,67,4,26,21,29,21,33,0
Derrick Dial,193,83,SG,114,986,2000,2004,5,354,59,130,189,98,31,15,135,344,9,53,57,82,51,64,0
Derrick Caracter,206,124,C,41,215,2011,2011,1,81,19,24,43,7,4,10,32,66,0,0,17,23,19,47,0
Perry Jones,211,106,SF,143,1675,2013,2015,3,488,46,206,252,54,36,33,159,341,36,123,62,94,60,135,0
Pavel Podkolzin,226,117,C,6,28,2005,2006,2,4,0,9,9,0,0,1,0,2,0,0,4,8,4,4,0
DeQuan Jones,203,100,SF,63,803,2013,2013,1,233,17,88,105,16,19,22,86,183,9,35,34,51,30,55,0
Patrick Ewing Jr,203,106,F,7,19,2011,2011,1,3,1,1,2,2,0,1,0,3,0,2,3,4,1,1,0
Pat Connaughton,196,93,SG,73,459,2016,2017,2,134,21,63,84,38,8,2,28,67,22,54,12,14,27,29,0
Pablo Prigioni,190,83,PG,337,5763,2013,2016,4,1220,175,449,624,936,347,7,165,313,260,701,110,127,319,517,0
Otto Porter,203,89,SF,266,6632,2014,2017,4,2469,306,878,1184,316,273,104,677,1269,285,733,260,336,179,479,0
Othyus Jeffers,196,90,SG,60,811,2010,2014,5,241,60,111,171,43,38,0,78,159,2,12,79,119,36,80,0
Omar Cook,185,86,PG,22,213,2004,2005,2,37,5,8,13,46,16,1,17,46,0,5,3,6,16,20,0
Oliver Lafayette,188,86,SG,1,22,2010,2010,1,7,1,3,4,2,0,0,2,4,1,2,0,0,1,0,0
Deng Gai,206,113,C,2,5,2006,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetris Nichols,203,97,SF,36,116,2008,2009,2,44,0,14,14,4,0,8,12,34,6,30,2,4,8,10,0
Norm Richardson,196,86,SG,22,134,2002,2002,1,60,6,10,16,4,0,0,12,36,8,16,12,18,6,10,0
Noel Felix,206,102,SF,12,82,2006,2006,1,18,3,10,13,2,2,3,5,22,1,3,5,8,8,13,0
DeMarcus Cousins,211,122,C,559,18035,2011,2017,7,12250,1571,4496,6067,1800,786,668,4003,8487,343,1007,3215,4337,1955,2161,0
Nikola Mirotic,208,99,PF,218,4979,2015,2017,3,2354,182,968,1150,272,165,156,396,822,363,1036,473,593,270,451,0
Nicolas Batum,203,90,SG,628,19893,2009,2017,9,7600,682,2659,3341,2304,594,426,1669,3302,1025,2875,1187,1413,1179,1145,0
Delonte West,193,81,PG,493,13375,2005,2012,8,4705,244,1214,1458,1769,524,208,1373,2899,424,1147,687,842,819,931,0
Nerlens Noel,211,103,C,244,6370,2015,2017,3,2381,525,1216,1741,350,381,344,975,1854,1,4,428,679,406,652,0
Nathan Jawai,208,127,C,45,431,2009,2010,2,126,50,56,106,24,10,9,50,114,0,1,26,38,29,61,0
Andre Iguodala,198,97,SF,976,33834,2005,2017,13,12683,941,4192,5133,4396,1548,463,3635,7071,908,2705,2689,3764,1991,1816,0
Dedric Willoughby,190,81,PG,25,508,2000,2000,1,190,11,40,51,66,23,2,32,81,29,98,39,51,37,32,0
Monta Ellis,190,83,SG,891,31131,2006,2017,12,16039,540,2534,3074,4202,1495,299,5374,11178,799,2550,2894,3738,2423,2086,0
DeAndre Jordan,211,120,C,673,18621,2009,2017,9,6151,2105,4712,6817,440,410,1207,2486,3663,1,11,1176,2733,846,1812,0
Miles Plumlee,211,112,C,391,6245,2013,2017,5,1787,604,1106,1710,171,189,301,791,1499,0,0,205,365,316,631,0
Mike Smith,208,102,SF,17,180,2001,2001,1,51,10,12,22,10,5,3,16,41,3,18,10,16,7,8,0
Andre Dawkins,196,97,SG,4,22,2015,2015,1,3,0,2,2,1,0,0,0,0,1,6,0,0,1,3,0
David Noel,198,104,PF,68,792,2007,2007,1,184,42,81,123,65,25,9,48,124,17,53,37,43,40,77,0
David Harrison,213,127,C,189,2686,2005,2008,4,949,184,365,549,47,64,185,374,706,0,0,201,383,216,538,0
Michael Ruffin,206,111,PF,414,5966,2000,2009,10,716,729,903,1632,250,199,193,258,631,0,3,200,436,273,942,0
Michael Bradley,208,111,PF,207,2233,2002,2006,5,531,237,405,642,99,29,49,238,481,2,15,49,98,125,226,0
Metta World,190,81,SF,1102,35289,2000,2017,18,14769,1307,3698,5005,2961,1983,602,4000,8944,1285,3825,2914,4105,2040,2967,0
Maurice Harkless,206,97,SF,356,8278,2013,2017,5,2646,455,871,1326,311,351,226,848,1579,208,661,326,547,329,688,0
Matthew Dellavedova,193,89,PG,291,6504,2014,2017,4,1804,123,435,558,1085,154,16,346,872,302,776,206,248,370,604,0
Andray Blatche,211,106,PF,564,12462,2006,2014,9,5706,1043,1981,3024,798,492,458,2275,4762,52,219,1000,1380,914,1382,0
Mason Plumlee,211,111,C,396,9398,2014,2017,4,3670,815,1845,2660,928,320,387,1414,2532,0,22,842,1447,607,1083,0
Marreese Speights,208,115,C,732,11265,2009,2017,9,5848,1072,2056,3128,469,205,387,2154,4557,149,428,1093,1372,654,1633,0
Markel Brown,190,83,SG,109,1763,2015,2016,2,579,39,190,229,130,69,27,148,347,55,185,118,151,81,151,0
Mario West,208,104,SG,162,796,2008,2011,4,154,60,82,142,51,45,8,54,115,2,10,40,71,31,134,0
Mardy Collins,198,99,SG,237,3661,2007,2010,4,993,122,321,443,438,141,32,350,867,51,158,140,233,261,336,0
Darryl Watkins,211,117,C,14,169,2008,2012,5,35,13,26,39,3,7,6,12,29,0,0,11,23,15,22,0
Marcus Smart,193,99,SG,207,5874,2015,2017,3,1916,215,568,783,757,315,70,382,910,246,845,414,543,329,551,0
Marcus Fizer,206,118,PF,289,6032,2001,2006,6,2782,375,965,1340,352,134,81,1082,2426,21,110,555,803,428,648,0
Darrun Hilliard,198,92,SG,77,764,2016,2017,2,279,7,71,78,60,20,3,68,161,31,96,50,68,47,67,0
Marcin Gortat,211,108,C,757,19897,2008,2017,10,7845,1659,4495,6154,769,373,895,3346,6001,4,24,1141,1668,889,1696,0
Amir Johnson,206,108,PF,745,16623,2006,2017,12,5559,1552,2662,4214,895,464,782,2254,3823,85,250,796,1181,832,2287,0
Manu Ginobili,198,92,SG,992,25560,2003,2017,15,13467,666,2889,3555,3838,1349,303,2952,5936,1431,3863,3270,3958,2011,2086,0
Malik Hairston,198,99,SG,62,472,2009,2010,2,149,24,53,77,29,10,16,62,113,2,12,19,37,23,48,0
Malcolm Delaney,190,86,PG,73,1248,2017,2017,1,391,11,113,124,193,39,1,119,278,26,110,75,93,95,112,0
Darren Collison,183,79,PG,563,16635,2010,2017,8,7149,259,1217,1476,2716,617,82,2186,4429,460,1211,1397,1639,1171,947,0
Luther Head,190,83,PG,380,8295,2006,2011,6,2991,116,781,897,805,271,45,609,1354,471,1216,360,465,462,547,0
Luke Schenscher,216,115,C,31,267,2006,2007,2,55,18,36,54,8,3,7,23,49,0,0,9,20,9,46,0
Luis Scola,206,108,PF,743,19001,2008,2017,10,8882,1335,3606,4941,1194,474,224,3577,7171,92,271,1452,1961,1121,2037,0
Lucas Nogueira,213,109,C,92,1336,2015,2017,3,324,102,198,300,50,66,102,129,193,4,15,54,86,59,172,0
Darius Songaila,206,112,C,495,9229,2004,2011,8,3415,553,1136,1689,589,324,106,1446,2885,3,19,514,609,486,1197,0
Lionel Chalmers,183,81,PG,36,433,2005,2005,1,111,4,27,31,51,13,0,30,76,12,49,15,24,24,30,0
Darius Miles,206,95,SF,525,13809,2001,2009,9,5368,687,1862,2549,1002,451,556,2210,4555,29,171,861,1443,1022,1191,0
Darington Hobson,201,95,SG,5,39,2012,2012,1,4,0,3,3,6,0,0,2,7,0,6,0,0,2,1,0
Dante Cunningham,203,104,SF,656,14022,2010,2017,8,4004,774,1693,2467,450,447,336,1622,3321,129,406,373,567,348,1222,0
Lazar Hayward,198,102,SF,72,591,2011,2013,3,207,25,65,90,35,17,8,49,124,21,78,46,60,28,65,0
Lavor Postell,196,97,SG,61,446,2001,2003,3,195,11,34,45,13,12,2,48,132,11,44,66,83,35,28,0
Danny Green,206,100,SG,470,11762,2010,2017,8,4155,259,1344,1603,761,474,374,618,1344,849,2123,372,453,491,778,0
Daniel Orton,208,115,C,51,542,2012,2014,3,143,48,78,126,24,18,28,50,102,0,1,43,72,29,81,0
Langston Galloway,188,90,PG,275,6480,2015,2017,3,2328,134,656,790,543,221,46,470,1173,379,1016,251,320,214,498,0
Daniel Ewing,190,83,PG,127,1683,2006,2007,2,431,32,126,158,174,69,10,126,294,36,122,71,91,107,148,0
Lamar Patterson,196,102,SG,40,435,2016,2017,2,93,5,52,57,45,10,2,18,40,13,55,18,25,27,51,0
Kyle Wiltjer,208,108,PF,14,44,2017,2017,1,13,4,6,10,2,3,1,0,1,4,13,1,2,5,4,0
Kyle Korver,201,96,SG,1173,30800,2004,2017,14,11713,342,3212,3554,2088,798,402,1726,3698,2322,5409,1295,1465,1272,2507,0
Kosta Perovic,218,108,C,7,38,2008,2008,1,10,6,7,13,1,0,2,3,10,0,0,4,6,1,6,0
Klay Thompson,201,97,SG,464,15182,2012,2017,6,8854,205,1349,1554,1045,422,251,1954,4072,1328,3171,962,1128,810,1039,0
Dan Langhi,211,99,SF,139,1290,2001,2004,4,406,54,149,203,39,30,12,165,414,12,40,40,64,37,113,0
Khalid El-Amin,178,90,PG,50,936,2001,2001,1,314,21,60,81,145,48,2,87,227,28,84,56,72,54,99,0
Kevin Martin,206,106,SG,815,24287,2005,2016,12,13856,444,2108,2552,1521,715,87,3032,6594,1260,3315,4012,4603,1346,1540,0
Kevin Jones,203,113,PF,32,334,2013,2013,1,95,38,40,78,10,9,5,43,107,0,0,9,15,8,25,0
Damion James,201,102,SF,39,623,2011,2014,4,150,25,106,131,26,23,20,61,141,0,6,28,42,38,56,0
Kent Bazemore,196,91,SF,418,7459,2013,2017,5,2992,119,969,1088,630,344,153,748,1586,345,993,461,681,512,699,0
Kenny Satterfield,188,84,PG,114,1564,2002,2003,2,453,49,89,138,244,71,5,166,482,17,83,70,96,139,115,0
Damian Lillard,190,88,PG,396,14399,2013,2017,5,8880,217,1376,1593,2446,368,110,1933,4097,1042,2817,1888,2154,1097,850,0
Dalibor Bagaric,216,115,C,95,973,2001,2003,3,251,84,154,238,37,29,43,97,267,0,2,57,102,72,163,0
Dajuan Wagner,183,77,SG,103,2202,2003,2007,5,964,29,113,142,195,69,14,262,680,92,287,164,213,136,212,0
Kelenna Azubuike,196,99,SG,208,5025,2007,2012,6,2178,257,572,829,230,130,103,592,1234,210,514,364,473,203,408,0
Daequan Cook,190,83,SG,377,6434,2008,2013,6,2251,82,682,764,262,128,55,341,900,468,1323,165,204,192,504,0
Keith Benson,208,106,C,3,9,2012,2012,1,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0
D.J. Strawberry,211,113,SG,33,270,2008,2008,1,73,9,19,28,30,12,6,23,67,6,25,9,19,11,36,0
Kawhi Leonard,201,104,SF,398,12154,2012,2017,6,6508,503,1966,2469,903,704,280,1859,3464,518,1334,1236,1459,542,697,0
D.J. Augustin,206,106,PG,866,20471,2009,2017,9,8388,211,1333,1544,3355,522,35,1643,3850,1080,2892,1862,2161,1324,1299,0
Jusuf Nurkic,213,127,C,224,4432,2015,2017,3,2013,498,993,1491,336,176,260,814,1686,0,7,385,651,427,620,0
Justin Harper,208,102,PF,22,150,2012,2017,6,45,5,13,18,4,3,3,10,24,8,29,1,3,12,10,0
Curtis Borchardt,213,108,C,83,1117,2004,2005,2,258,99,179,278,64,14,46,96,227,0,1,66,89,70,200,0
Juan Carlos,203,92,SG,82,2117,2008,2008,1,896,34,176,210,177,48,1,152,334,156,432,124,146,134,94,0
Josh McRoberts,208,108,PF,498,9752,2008,2017,10,2734,561,1450,2011,1042,254,221,850,1655,220,659,374,523,447,946,0
Cristiano Felicio,208,124,C,97,1361,2016,2017,2,421,154,259,413,66,31,29,168,290,0,4,85,128,46,141,0
Josh Childress,203,95,SF,391,10432,2005,2014,10,3548,732,1118,1850,609,339,184,1244,2270,99,301,763,980,439,725,0
Jose Calderon,190,90,PG,903,24796,2006,2017,12,8520,313,1941,2254,5522,742,75,2256,4452,1011,2452,975,1111,1430,1466,0
Jordan Hill,208,106,C,495,8867,2010,2017,8,3670,1016,1734,2750,358,178,320,1535,3072,3,27,591,852,487,1038,0
Jonny Flynn,183,83,PG,192,4154,2010,2012,3,1635,52,294,346,730,128,9,469,1127,128,383,313,390,418,202,0
Jonas Jerebko,208,104,PF,563,10201,2010,2017,8,3479,732,1539,2271,458,317,141,992,1990,320,896,535,694,412,1096,0
Craig Brackins,208,104,PF,17,121,2011,2012,2,30,7,12,19,9,1,1,10,35,3,14,1,2,4,9,0
Courtney Lee,196,90,SG,835,23162,2009,2017,9,8131,376,1834,2210,1375,840,242,2230,4564,880,2290,1031,1212,798,1426,0
Coty Clarke,201,105,SF,3,6,2016,2016,1,6,0,1,1,0,0,0,0,2,2,2,0,0,1,0,0
Cory Jefferson,206,98,PF,58,581,2015,2016,2,205,53,108,161,16,10,22,82,173,2,16,35,60,20,69,0
John Jenkins,193,97,SG,188,2330,2013,2017,5,912,38,232,270,151,39,13,229,448,111,312,121,143,113,107,0
Cody Zeller,213,108,PF,279,6402,2014,2017,4,2239,488,1087,1575,362,193,211,826,1644,2,13,581,792,282,719,0
Clint Capela,206,98,C,154,3112,2015,2017,3,1392,382,674,1056,113,94,181,607,988,0,1,178,411,152,383,0
Allan Ray,188,86,SG,47,710,2007,2007,1,290,18,51,69,43,20,3,52,143,48,116,42,55,42,85,0
Cleanthony Early,203,95,SF,56,801,2015,2016,2,241,26,97,123,42,26,15,62,155,26,99,39,52,49,73,0
Christian Eyenga,196,95,SF,58,1151,2011,2012,2,337,35,116,151,45,40,38,115,259,27,97,26,44,53,92,0
Chris Richard,206,122,PF,70,780,2008,2010,3,135,71,123,194,25,18,16,56,116,0,0,23,38,38,133,0
Alexey Shved,198,86,SG,224,4038,2013,2015,3,1783,108,346,454,566,140,55,369,874,209,668,418,540,291,249,0
Chris Paul,183,79,PG,834,29646,2006,2017,12,15610,569,3115,3684,8251,1911,90,4496,8922,997,2692,3627,4189,2024,2055,0
Chris Mihm,213,120,C,512,10088,2001,2009,9,3744,1021,1694,2715,244,165,507,1436,3099,3,13,863,1235,625,1472,0
Chris McCray,196,87,SG,5,12,2007,2007,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0
Chris Johnson,198,93,F,147,2274,2013,2016,4,650,71,224,295,93,89,31,126,248,104,339,86,103,80,212,0
Chris Jefferies,203,102,SG,93,1056,2003,2004,2,365,26,91,117,36,27,30,77,200,52,138,55,83,83,128,0
Aaron Gordon,206,99,SF,205,4958,2015,2017,3,1981,316,765,1081,311,144,117,628,1195,132,457,329,471,193,408,0
Alex Poythress,201,107,PF,6,157,2017,2017,1,64,11,18,29,5,3,2,19,35,6,19,8,10,3,14,0
Chase Budinger,201,94,SF,473,8927,2010,2016,7,3469,281,1109,1390,537,245,75,855,1747,437,1258,448,569,354,547,0
Charlie Villanueva,211,105,PF,656,13578,2006,2016,11,6808,795,2224,3019,549,329,349,1936,3996,716,2101,788,1021,650,1453,0
Cedric Bozeman,198,93,SG,23,199,2007,2007,1,26,3,20,23,9,5,2,9,26,2,13,2,6,9,32,0
Casper Ware,178,79,PG,9,116,2014,2014,1,48,0,9,9,10,8,0,11,21,7,21,5,6,5,11,0
Cartier Martin,201,99,SF,320,4611,2009,2015,7,1699,126,515,641,170,135,35,297,712,294,786,223,302,181,436,0
Carmelo Anthony,203,108,SF,1053,38085,2004,2017,14,26126,1860,5132,6992,3278,1098,517,8033,16937,1267,3638,6259,7680,2931,3057,0
Carlos Boozer,206,117,PF,861,26901,2003,2015,13,13976,2037,6155,8192,1928,765,346,5846,11207,1,14,2281,3158,1824,2612,0
Alex Acker,196,83,SG,55,433,2006,2009,4,153,17,36,53,28,11,8,49,123,15,45,10,20,18,22,0
Calvin Booth,211,104,C,480,5917,2000,2009,10,1623,427,947,1374,201,146,499,644,1407,2,10,329,444,250,912,0
C.J. Wilcox,203,90,SG,66,376,2015,2017,3,132,6,25,31,30,15,4,31,78,19,57,13,16,18,30,0
C.J. McCollum,190,86,SG,260,7025,2014,2017,4,4128,128,561,689,717,226,75,1099,2284,467,1131,529,627,451,523,0
Byron Mullens,213,124,C,234,3860,2010,2014,5,1587,224,658,882,167,89,109,486,1094,144,437,183,265,214,399,0
Buddy Hield,193,97,SG,164,3776,2017,2017,1,1732,70,468,538,242,76,18,358,778,296,758,128,152,202,230,0
Bryn Forbes,190,86,SG,36,285,2017,2017,1,94,2,21,23,23,1,0,19,46,17,53,5,6,11,20,0
Bryce Cotton,185,74,PG,31,237,2015,2016,2,96,3,15,18,21,10,0,30,63,7,26,15,18,22,10,0
Zarko Cabarkapa,211,106,PF,190,2025,2004,2006,3,878,133,281,414,110,43,30,283,601,37,124,201,267,149,280,0
