Player,Ht,Wt,Pos,GP,MP,RY,LY,EXP,PTS,ORB,DRB,TRB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,TOV,PF,HOF
Bostjan Nachbar,206,100,PF,424,7471,2003,2008,6,2903,158,920,1078,384,180,105,540,1267,419,1134,566,721,377,946,0
Smush Parker,193,86,PG,318,7805,2003,2008,6,2682,127,595,722,890,365,50,680,1427,310,929,392,555,559,682,0
Shawne Williams,185,91,SF,377,6455,2007,2015,9,2110,283,828,1111,264,152,177,432,922,339,990,229,297,227,791,0
Shavlik Randolph,208,108,PF,173,1381,2006,2015,10,378,174,241,415,41,50,42,143,329,1,11,89,163,65,218,0
Shannon Brown,193,92,SG,506,8297,2007,2015,9,3497,201,651,852,522,330,100,1045,2311,299,900,510,642,458,633,0
Sergey Karasev,201,94,SF,95,1110,2014,2016,3,287,30,110,140,87,32,4,65,133,31,110,64,76,57,94,0
Sean May,206,120,C,119,1868,2006,2010,5,821,155,326,481,115,53,47,321,695,3,13,170,228,134,236,0
Scott Machado,185,92,PG,6,21,2013,2013,1,8,0,1,1,6,2,0,3,5,0,1,2,2,8,0,0
Sasha Kaun,211,117,C,25,95,2016,2016,1,23,12,14,26,3,4,5,9,17,0,0,5,11,7,11,0
Sam Dekker,206,104,SF,80,1425,2016,2017,2,504,94,191,285,76,39,21,143,242,60,187,38,68,41,83,0
Ryan Robertson,196,86,SG,1,25,2000,2000,1,5,0,0,0,0,0,0,2,4,0,2,1,1,0,0,0
Ryan Gomes,201,113,SF,487,13463,2006,2014,9,4926,617,1622,2239,712,351,78,1557,3293,334,956,810,1014,550,942,0
Russ Smith,183,74,PG,39,196,2015,2016,2,83,3,18,21,27,11,1,18,45,5,27,32,39,31,31,0
Ruben Wolkowyski,208,122,PF,41,329,2001,2003,3,80,12,35,47,4,6,18,27,80,0,3,26,38,13,41,0
Royal Ivey,190,90,SG,536,6488,2005,2014,10,1734,153,438,591,528,249,40,481,1130,176,484,244,345,266,796,0
Ronny Turiaf,208,112,C,490,8299,2006,2015,10,2260,540,1287,1827,628,195,610,875,1632,0,8,510,804,372,1155,0
Ronnie Brewer,193,81,SF,644,14294,2007,2014,8,4637,540,1228,1768,1042,762,142,1714,3341,122,470,843,1273,463,662,0
Boban Marjanovic,221,131,C,89,801,2016,2017,2,488,119,205,324,30,18,35,177,306,0,0,134,172,39,79,0
Ron Baker,193,99,SG,52,857,2017,2017,1,215,12,86,98,107,34,8,59,131,23,86,28,43,56,74,0
Rodney Buford,196,85,SF,230,4182,2000,2005,6,1472,117,481,598,179,115,31,556,1283,74,247,138,182,140,332,0
